Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet [CoCA],Cost of a nutrient adequate diet [CoNA],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of fruits [CoHD_f],Cost of vegetables [CoHD_v],Cost of starchy staples [CoHD_ss],Cost of animal-source foods [CoHD_asf],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of oils and fats [CoHD_of],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Affordability of an energy sufficient diet: ratio of cost to the $0.99 food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the $0.99 food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the $0.99 food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n]
Food Prices for Nutrition Data,FPN,Maldives,MDV,2020,YR2020,..,..,3.861,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.9,..,..,..,..,..,1.4,..,..,0
Food Prices for Nutrition Data,FPN,Mali,MLI,2017,YR2017,0.6,1.985,2.9,4.83,0.543,0.648,0.43,1.003,0.134,0.143,0.187,0.223,0.148,0.346,0.046,0.049,1.26,1.51,2.33,0.31,0.33,0.606,2.005,2.929,0.233,0.77,1.126,2.4,61.6,80.1,0.4,11.4,14.8
Food Prices for Nutrition Data,FPN,Mali,MLI,2018,YR2018,..,..,3.035,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.066,..,..,..,..,..,77.5,..,..,14.8
Food Prices for Nutrition Data,FPN,Mali,MLI,2019,YR2019,..,..,2.96,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.99,..,..,..,..,..,73.4,..,..,14.4
Food Prices for Nutrition Data,FPN,Mali,MLI,2020,YR2020,..,..,3.053,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.084,..,..,..,..,..,74.3,..,..,15
Food Prices for Nutrition Data,FPN,Malta,MLT,2017,YR2017,0.741,2.647,3.494,4.72,0.931,0.73,0.508,0.795,0.45,0.08,0.266,0.209,0.145,0.228,0.129,0.023,1.83,1.44,1.56,0.89,0.16,0.748,2.674,3.529,0.109,0.388,0.512,0.1,0.3,0.3,0,0,0
Food Prices for Nutrition Data,FPN,Malta,MLT,2018,YR2018,..,..,3.629,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.666,..,..,..,..,..,0.3,..,..,0
Food Prices for Nutrition Data,FPN,Malta,MLT,2019,YR2019,..,..,3.698,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.735,..,..,..,..,..,0.7,..,..,0
Food Prices for Nutrition Data,FPN,Malta,MLT,2020,YR2020,..,..,3.769,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.807,..,..,..,..,..,0.7,..,..,0
Food Prices for Nutrition Data,FPN,Mauritania,MRT,2017,YR2017,0.877,2.814,3.451,3.94,0.804,0.87,0.463,0.96,0.194,0.16,0.233,0.252,0.134,0.278,0.056,0.046,1.74,1.88,2.07,0.42,0.35,0.886,2.842,3.486,0.263,0.845,1.036,2.9,49.2,62.9,0.1,2.1,2.7
