Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet [CoCA],Cost of a nutrient adequate diet [CoNA],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of fruits [CoHD_f],Cost of vegetables [CoHD_v],Cost of starchy staples [CoHD_ss],Cost of animal-source foods [CoHD_asf],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of oils and fats [CoHD_of],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Affordability of an energy sufficient diet: ratio of cost to the $0.99 food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the $0.99 food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the $0.99 food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n]
Food Prices for Nutrition Data,FPN,Albania,ALB,2017,YR2017,0.725,2.471,3.952,5.45,0.911,0.707,0.599,1.204,0.441,0.089,0.231,0.179,0.152,0.305,0.112,0.023,1.52,1.18,2.01,0.74,0.15,0.732,2.496,3.992,0.078,0.266,0.425,0,13,37.8,0,0.4,1.1
Food Prices for Nutrition Data,FPN,Albania,ALB,2018,YR2018,..,..,4.051,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.092,..,..,..,..,..,27.9,..,..,0.8
Food Prices for Nutrition Data,FPN,Albania,ALB,2019,YR2019,..,..,4.117,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.159,..,..,..,..,..,19.8,..,..,0.6
Food Prices for Nutrition Data,FPN,Albania,ALB,2020,YR2020,..,..,4.197,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.239,..,..,..,..,..,20.1,..,..,0.6
Food Prices for Nutrition Data,FPN,Algeria,DZA,2017,YR2017,0.773,2.323,3.763,4.87,0.979,0.699,0.496,0.964,0.493,0.132,0.26,0.186,0.132,0.256,0.131,0.035,1.97,1.41,1.94,0.99,0.27,0.781,2.346,3.801,0.124,0.374,0.605,0.2,7.2,35.2,0.1,3,14.6
Food Prices for Nutrition Data,FPN,Algeria,DZA,2018,YR2018,..,..,3.822,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.861,..,..,..,..,..,33.9,..,..,14.3
Food Prices for Nutrition Data,FPN,Algeria,DZA,2019,YR2019,..,..,3.796,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.834,..,..,..,..,..,31.8,..,..,13.7
Food Prices for Nutrition Data,FPN,Algeria,DZA,2020,YR2020,..,..,3.76,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.798,..,..,..,..,..,30.2,..,..,13.2
Food Prices for Nutrition Data,FPN,Angola,AGO,2017,YR2017,1.403,3.231,4.327,3.08,0.717,1.199,0.839,1.011,0.395,0.166,0.166,0.277,0.194,0.234,0.091,0.038,0.85,1.43,1.21,0.47,0.2,1.417,3.264,4.371,0.315,0.726,0.972,57.2,87.1,92.9,17,26,27.7
Food Prices for Nutrition Data,FPN,Angola,AGO,2018,YR2018,..,..,4.293,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.336,..,..,..,..,..,93.4,..,..,28.8
Food Prices for Nutrition Data,FPN,Angola,AGO,2019,YR2019,..,..,4.352,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.396,..,..,..,..,..,93.9,..,..,29.9
Food Prices for Nutrition Data,FPN,Angola,AGO,2020,YR2020,..,..,4.534,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.58,..,..,..,..,..,94.3,..,..,31
Food Prices for Nutrition Data,FPN,Anguilla,AIA,2017,YR2017,1.308,2.433,3.717,2.84,0.811,1.019,0.778,0.647,0.328,0.134,0.218,0.274,0.209,0.174,0.088,0.036,1.04,1.31,0.83,0.42,0.17,1.321,2.458,3.755,0.203,0.378,0.577,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Anguilla,AIA,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Anguilla,AIA,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Anguilla,AIA,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Antigua and Barbuda,ATG,2017,YR2017,0.933,3.017,4.112,4.41,1.003,1.279,0.604,0.682,0.429,0.115,0.244,0.311,0.147,0.166,0.104,0.028,1.66,2.12,1.13,0.71,0.19,0.942,3.047,4.154,0.174,0.563,0.767,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Antigua and Barbuda,ATG,2018,YR2018,..,..,4.302,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.345,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Antigua and Barbuda,ATG,2019,YR2019,..,..,4.391,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.435,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Antigua and Barbuda,ATG,2020,YR2020,..,..,4.504,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.549,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Argentina,ARG,2017,YR2017,0.652,2.625,3.341,5.12,0.733,0.703,0.463,0.669,0.656,0.117,0.219,0.21,0.139,0.2,0.196,0.035,1.58,1.52,1.44,1.42,0.25,0.659,2.652,3.375,0.077,0.31,0.395,0.3,7.1,11,0.1,3.1,4.8
Food Prices for Nutrition Data,FPN,Argentina,ARG,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Argentina,ARG,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Argentina,ARG,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Armenia,ARM,2017,YR2017,1.013,2.208,3.096,3.06,0.488,0.433,0.537,0.973,0.541,0.123,0.158,0.14,0.173,0.314,0.175,0.04,0.91,0.81,1.81,1.01,0.23,1.023,2.23,3.127,0.088,0.192,0.27,0.6,16.8,40.9,0,0.5,1.2
Food Prices for Nutrition Data,FPN,Armenia,ARM,2018,YR2018,..,..,3.166,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.198,..,..,..,..,..,41.7,..,..,1.2
Food Prices for Nutrition Data,FPN,Armenia,ARM,2019,YR2019,..,..,3.237,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.27,..,..,..,..,..,43.6,..,..,1.3
Food Prices for Nutrition Data,FPN,Armenia,ARM,2020,YR2020,..,..,3.247,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.28,..,..,..,..,..,42.9,..,..,1.3
Food Prices for Nutrition Data,FPN,Aruba,ABW,2017,YR2017,1.13,2.835,3.418,3.02,0.475,0.907,0.797,0.718,0.407,0.115,0.139,0.265,0.233,0.21,0.119,0.034,0.6,1.14,0.9,0.51,0.14,1.141,2.864,3.453,0.239,0.6,0.723,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Aruba,ABW,2018,YR2018,..,..,3.62,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.657,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Aruba,ABW,2019,YR2019,..,..,3.907,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.946,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Aruba,ABW,2020,YR2020,..,..,4.138,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.18,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Australia,AUS,2017,YR2017,0.307,1.595,2.259,7.36,0.667,0.597,0.221,0.458,0.249,0.067,0.295,0.264,0.098,0.203,0.11,0.03,3.02,2.7,2.07,1.13,0.3,0.31,1.611,2.282,0.045,0.235,0.333,0.2,0.5,0.7,0.1,0.1,0.2
Food Prices for Nutrition Data,FPN,Australia,AUS,2018,YR2018,..,..,2.273,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.296,..,..,..,..,..,0.7,..,..,0.2
Food Prices for Nutrition Data,FPN,Australia,AUS,2019,YR2019,..,..,2.325,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.348,..,..,..,..,..,0.7,..,..,0.2
Food Prices for Nutrition Data,FPN,Australia,AUS,2020,YR2020,..,..,2.561,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.587,..,..,..,..,..,0.7,..,..,0.2
Food Prices for Nutrition Data,FPN,Austria,AUT,2017,YR2017,0.346,2.256,2.772,8.01,0.819,0.698,0.229,0.612,0.36,0.055,0.295,0.252,0.083,0.221,0.13,0.02,3.58,3.05,2.67,1.57,0.24,0.349,2.279,2.8,0.049,0.318,0.39,0.2,0.5,0.6,0,0,0.1
Food Prices for Nutrition Data,FPN,Austria,AUT,2018,YR2018,..,..,2.848,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.877,..,..,..,..,..,0.8,..,..,0.1
Food Prices for Nutrition Data,FPN,Austria,AUT,2019,YR2019,..,..,2.818,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.846,..,..,..,..,..,0.8,..,..,0.1
Food Prices for Nutrition Data,FPN,Austria,AUT,2020,YR2020,..,..,2.981,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.011,..,..,..,..,..,0.8,..,..,0.1
Food Prices for Nutrition Data,FPN,Azerbaijan,AZE,2017,YR2017,0.789,1.836,2.348,2.98,0.26,0.317,0.448,0.729,0.463,0.132,0.111,0.135,0.191,0.31,0.197,0.056,0.58,0.71,1.63,1.03,0.29,0.797,1.855,2.372,0.097,0.225,0.288,0,0,0,0,0,0
Food Prices for Nutrition Data,FPN,Azerbaijan,AZE,2018,YR2018,..,..,2.399,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.423,..,..,..,..,..,0,..,..,0
Food Prices for Nutrition Data,FPN,Azerbaijan,AZE,2019,YR2019,..,..,2.459,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.484,..,..,..,..,..,0,..,..,0
Food Prices for Nutrition Data,FPN,Azerbaijan,AZE,2020,YR2020,..,..,2.533,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.559,..,..,..,..,..,0,..,..,0
Food Prices for Nutrition Data,FPN,"Bahamas, The",BHS,2017,YR2017,1.049,4.683,4.276,4.08,1.03,0.716,0.574,0.848,0.656,0.453,0.241,0.167,0.134,0.198,0.153,0.106,1.79,1.25,1.48,1.14,0.79,1.06,4.73,4.319,0.169,0.755,0.69,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,"Bahamas, The",BHS,2018,YR2018,..,..,4.387,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.431,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,"Bahamas, The",BHS,2019,YR2019,..,..,4.364,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.408,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,"Bahamas, The",BHS,2020,YR2020,..,..,4.488,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.533,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Bahrain,BHR,2017,YR2017,0.792,2.829,3.379,4.27,0.474,0.688,0.653,1.006,0.373,0.185,0.14,0.204,0.193,0.298,0.11,0.055,0.73,1.05,1.54,0.57,0.28,0.8,2.858,3.413,0.115,0.412,0.492,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Bahrain,BHR,2018,YR2018,..,..,3.463,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.498,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Bahrain,BHR,2019,YR2019,..,..,3.573,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.609,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Bahrain,BHR,2020,YR2020,..,..,3.835,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.874,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Bangladesh,BGD,2017,YR2017,0.644,1.947,2.882,4.48,0.559,0.477,0.359,1.143,0.227,0.118,0.194,0.166,0.125,0.397,0.079,0.041,1.56,1.33,3.18,0.63,0.33,0.651,1.967,2.911,0.145,0.438,0.648,0.8,51.8,77.4,1.2,82.7,123.7
Food Prices for Nutrition Data,FPN,Bangladesh,BGD,2018,YR2018,..,..,2.971,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.001,..,..,..,..,..,74.6,..,..,120.5
Food Prices for Nutrition Data,FPN,Bangladesh,BGD,2019,YR2019,..,..,3.024,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.055,..,..,..,..,..,73.5,..,..,119.8
Food Prices for Nutrition Data,FPN,Bangladesh,BGD,2020,YR2020,..,..,3.064,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.095,..,..,..,..,..,73.5,..,..,121.1
Food Prices for Nutrition Data,FPN,Barbados,BRB,2017,YR2017,0.896,2.226,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.905,2.248,..,0.218,0.542,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Barbados,BRB,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Barbados,BRB,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Barbados,BRB,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Belarus,BLR,2017,YR2017,0.8,2.161,3.177,3.97,0.678,0.349,0.506,0.826,0.643,0.174,0.213,0.11,0.159,0.26,0.202,0.055,1.34,0.69,1.63,1.27,0.34,0.808,2.183,3.209,0.095,0.257,0.378,0,0.1,0.8,0,0,0.1
Food Prices for Nutrition Data,FPN,Belarus,BLR,2018,YR2018,..,..,3.228,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.261,..,..,..,..,..,0.5,..,..,0
Food Prices for Nutrition Data,FPN,Belarus,BLR,2019,YR2019,..,..,3.31,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.343,..,..,..,..,..,0.3,..,..,0
Food Prices for Nutrition Data,FPN,Belarus,BLR,2020,YR2020,..,..,3.31,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.343,..,..,..,..,..,0.2,..,..,0
Food Prices for Nutrition Data,FPN,Belgium,BEL,2017,YR2017,0.263,2.406,2.862,10.88,0.79,0.677,0.222,0.745,0.369,0.06,0.276,0.237,0.078,0.26,0.129,0.021,3.56,3.05,3.36,1.66,0.27,0.266,2.43,2.891,0.032,0.291,0.347,0.1,0.3,0.3,0,0,0
Food Prices for Nutrition Data,FPN,Belgium,BEL,2018,YR2018,..,..,2.962,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.992,..,..,..,..,..,0.2,..,..,0
Food Prices for Nutrition Data,FPN,Belgium,BEL,2019,YR2019,..,..,2.943,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.973,..,..,..,..,..,0.2,..,..,0
Food Prices for Nutrition Data,FPN,Belgium,BEL,2020,YR2020,..,..,3.13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.162,..,..,..,..,..,0.2,..,..,0
Food Prices for Nutrition Data,FPN,Belize,BLZ,2017,YR2017,1.13,2.803,2.476,2.19,0.162,0.805,0.38,0.776,0.224,0.129,0.065,0.325,0.153,0.313,0.09,0.052,0.43,2.12,2.04,0.59,0.34,1.141,2.831,2.501,0.461,1.143,1.009,13.9,45.5,39.4,0.1,0.2,0.1
Food Prices for Nutrition Data,FPN,Belize,BLZ,2018,YR2018,..,..,2.321,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.344,..,..,..,..,..,37.4,..,..,0.1
Food Prices for Nutrition Data,FPN,Belize,BLZ,2019,YR2019,..,..,2.221,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.243,..,..,..,..,..,37,..,..,0.1
Food Prices for Nutrition Data,FPN,Belize,BLZ,2020,YR2020,..,..,2.14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.162,..,..,..,..,..,36.4,..,..,0.1
Food Prices for Nutrition Data,FPN,Benin,BEN,2017,YR2017,0.652,2.498,3.55,5.44,0.538,1.012,0.41,1.168,0.297,0.125,0.152,0.285,0.115,0.329,0.084,0.035,1.31,2.47,2.85,0.72,0.3,0.659,2.523,3.586,0.316,1.211,1.721,13.9,82.3,90.7,1.5,9.2,10.1
Food Prices for Nutrition Data,FPN,Benin,BEN,2018,YR2018,..,..,3.67,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.707,..,..,..,..,..,87.1,..,..,10
Food Prices for Nutrition Data,FPN,Benin,BEN,2019,YR2019,..,..,3.664,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.701,..,..,..,..,..,82.9,..,..,9.8
Food Prices for Nutrition Data,FPN,Benin,BEN,2020,YR2020,..,..,3.707,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.744,..,..,..,..,..,82.9,..,..,10.1
Food Prices for Nutrition Data,FPN,Bermuda,BMU,2017,YR2017,1.099,4.706,4.072,3.71,0.478,1.652,0.743,0.502,0.53,0.165,0.117,0.406,0.182,0.123,0.13,0.041,0.64,2.22,0.68,0.71,0.22,1.11,4.754,4.113,0.104,0.447,0.387,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Bermuda,BMU,2018,YR2018,..,..,3.842,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.881,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Bermuda,BMU,2019,YR2019,..,..,3.788,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.826,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Bermuda,BMU,2020,YR2020,..,..,3.616,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.653,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Bhutan,BTN,2017,YR2017,1.047,2.802,4.383,4.19,1.122,0.94,0.54,1.191,0.427,0.164,0.256,0.214,0.123,0.272,0.097,0.037,2.08,1.74,2.21,0.79,0.3,1.058,2.83,4.427,0.18,0.481,0.753,1.3,32.7,57.6,0,0.2,0.4
Food Prices for Nutrition Data,FPN,Bhutan,BTN,2018,YR2018,..,..,4.587,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.633,..,..,..,..,..,52.2,..,..,0.4
Food Prices for Nutrition Data,FPN,Bhutan,BTN,2019,YR2019,..,..,4.712,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.76,..,..,..,..,..,50,..,..,0.4
Food Prices for Nutrition Data,FPN,Bhutan,BTN,2020,YR2020,..,..,5.029,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.08,..,..,..,..,..,53,..,..,0.4
Food Prices for Nutrition Data,FPN,Bolivia,BOL,2017,YR2017,1.468,3.338,3.551,2.42,0.411,0.644,0.781,1.046,0.53,0.14,0.116,0.181,0.22,0.295,0.149,0.039,0.53,0.82,1.34,0.68,0.18,1.483,3.372,3.587,0.258,0.586,0.624,9.3,28,30.2,1,3.1,3.4
Food Prices for Nutrition Data,FPN,Bolivia,BOL,2018,YR2018,..,..,3.648,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.685,..,..,..,..,..,28.6,..,..,3.3
Food Prices for Nutrition Data,FPN,Bolivia,BOL,2019,YR2019,..,..,3.769,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.807,..,..,..,..,..,25.4,..,..,2.9
Food Prices for Nutrition Data,FPN,Bolivia,BOL,2020,YR2020,..,..,3.755,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.793,..,..,..,..,..,24.7,..,..,2.9
Food Prices for Nutrition Data,FPN,Bonaire,BON,2017,YR2017,0.746,3.329,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.754,3.363,..,0.225,1.002,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Bonaire,BON,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Bonaire,BON,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Bonaire,BON,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,Bosnia and Herzegovina,BIH,2017,YR2017,0.691,3.051,3.847,5.57,0.916,0.825,0.54,0.921,0.512,0.132,0.238,0.214,0.14,0.239,0.133,0.034,1.7,1.53,1.71,0.95,0.24,0.698,3.082,3.886,0.087,0.386,0.487,0,2.3,4.6,0,0.1,0.2
Food Prices for Nutrition Data,FPN,Bosnia and Herzegovina,BIH,2018,YR2018,..,..,3.89,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.929,..,..,..,..,..,4,..,..,0.1
Food Prices for Nutrition Data,FPN,Bosnia and Herzegovina,BIH,2019,YR2019,..,..,3.895,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.934,..,..,..,..,..,3.6,..,..,0.1
Food Prices for Nutrition Data,FPN,Bosnia and Herzegovina,BIH,2020,YR2020,..,..,3.995,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.035,..,..,..,..,..,3.7,..,..,0.1
Food Prices for Nutrition Data,FPN,Botswana,BWA,2017,YR2017,0.505,2.25,3.622,7.17,0.795,0.796,0.39,1.097,0.402,0.142,0.219,0.22,0.108,0.303,0.111,0.039,2.04,2.04,2.81,1.03,0.36,0.51,2.273,3.659,0.038,0.17,0.274,1.4,45.1,63.8,0,1,1.4
Food Prices for Nutrition Data,FPN,Botswana,BWA,2018,YR2018,..,..,3.575,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.611,..,..,..,..,..,61.5,..,..,1.4
Food Prices for Nutrition Data,FPN,Botswana,BWA,2019,YR2019,..,..,3.591,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.627,..,..,..,..,..,60.8,..,..,1.4
Food Prices for Nutrition Data,FPN,Botswana,BWA,2020,YR2020,..,..,3.701,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.738,..,..,..,..,..,61.4,..,..,1.4
Food Prices for Nutrition Data,FPN,Brazil,BRA,2017,YR2017,0.848,2.657,2.809,3.31,0.46,0.465,0.439,0.635,0.742,0.067,0.164,0.166,0.156,0.226,0.264,0.024,1.05,1.06,1.45,1.69,0.15,0.857,2.684,2.837,0.191,0.599,0.634,3.2,16.9,18.3,6.6,35.2,38.1
Food Prices for Nutrition Data,FPN,Brazil,BRA,2018,YR2018,..,..,2.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.828,..,..,..,..,..,17.2,..,..,36
Food Prices for Nutrition Data,FPN,Brazil,BRA,2019,YR2019,..,..,2.882,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.911,..,..,..,..,..,17.5,..,..,37
Food Prices for Nutrition Data,FPN,Brazil,BRA,2020,YR2020,..,..,3.084,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.115,..,..,..,..,..,19,..,..,40.4
Food Prices for Nutrition Data,FPN,British Virgin Islands,VGB,2017,YR2017,1.563,3.059,3.235,2.07,0.425,0.785,0.808,0.828,0.237,0.152,0.131,0.243,0.25,0.256,0.073,0.047,0.53,0.97,1.02,0.29,0.19,1.579,3.09,3.268,0.173,0.338,0.358,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,British Virgin Islands,VGB,2018,YR2018,..,..,3.153,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.185,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition Data,FPN,British Virgin Islands,VGB,2019,YR2019,..,..,3.313,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.346,..,..,..,..,..,..,..,..,..
